Time,Value
0,0
0.0113553,0
0.0210635,0
0.0452539,1
0.0472862,0
0.0523101,1
0.120492,2
0.129121,1
0.149041,0
0.167825,0
0.189642,0
0.191981,0
0.217945,0
0.231414,1
0.248536,0
0.265936,1
0.283213,2
0.297107,1
0.298566,0
0.299147,0
0.303352,0
0.308895,1
0.3186,0
0.320541,0
0.345139,0
0.38477,0
0.390293,0
0.394325,0
0.398043,0
0.453959,0
0.468216,0
0.473913,1
0.493089,2
0.494262,3
0.499856,4
0.567468,5
0.587338,6
0.601833,5
0.606134,4
0.62873,3
0.630333,2
0.690877,1
0.719038,2
0.73051,1
0.749146,2
0.757655,1
0.758023,0
0.760771,0
0.761386,0
0.766327,1
0.768549,0
0.770077,0
0.784913,0
0.803873,0
0.80401,0
0.831671,0
0.871374,0
0.881141,1
0.901309,0
0.901669,0
0.904173,0
0.906955,1
0.927067,2
0.952301,3
0.965626,2
1.0069,3
1.03346,4
1.03874,5
1.10427,4
1.14001,3
1.19005,4
1.20191,3
1.20693,4
1.22844,5
1.24785,6
1.27817,7
1.30954,8
1.3167,9
1.31912,10
1.32649,11
1.38595,12
1.39795,13
1.39957,12
1.42189,13
1.42499,14
1.42577,15
1.42579,16
1.42827,15
1.4368,16
1.44808,17
1.45818,16
1.4592,17
1.47926,18
1.48727,17
1.48887,16
1.5112,15
1.51201,14
1.51227,15
1.52356,16
1.56423,15
1.5703,14
1.57204,13
1.57244,14
1.60551,15
1.61927,16
1.63619,15
1.63796,16
1.65881,15
1.66412,16
1.69796,17
1.72004,18
1.73372,17
1.78872,18
1.79476,19
1.81239,18
1.85073,17
1.85117,16
1.89887,17
1.89903,16
1.91655,15
1.9183,16
1.92675,17
1.93686,16
1.94967,17
1.95584,18
1.96035,17
1.98564,18
1.99231,17
2.01289,17
2.01404,17
2.05456,18
2.07351,19
2.09282,18
2.09561,17
2.10382,16
2.11051,15
2.11121,16
2.11724,15
2.12295,14
2.12865,13
2.13541,12
2.14063,13
2.14338,12
2.16492,11
2.17325,12
2.17373,11
2.19461,12
2.21062,11
2.22915,10
2.22954,11
2.23416,10
2.24131,9
2.24341,8
2.24823,9
2.26406,8
2.26965,9
2.27073,8
2.27916,9
2.28208,8
2.30016,7
2.32163,6
2.34082,5
2.3703,4
2.37032,3
2.37696,2
2.37808,3
2.38187,2
2.38393,1
2.38724,2
2.39696,3
2.40091,4
2.42059,5
2.42458,6
2.42937,7
2.43387,8
2.43637,9
2.45864,8
2.46713,7
2.50853,6
2.51248,5
2.51328,4
2.52249,5
2.52967,4
2.53487,5
2.54795,4
2.55284,5
2.55327,4
2.55537,3
2.55906,2
2.56106,3
2.58066,2
2.60608,1
2.61283,0
2.62025,1
2.62632,0
2.62947,0
2.65473,0
2.66371,0
2.68049,0
2.683,0
2.7057,0
2.73359,0
2.73714,0
2.7376,0
2.74743,0
2.74814,0
2.75235,0
2.76604,0
2.77657,0
2.78972,0
2.79578,0
2.79978,0
2.86624,0
2.86909,0
2.87678,0
2.88721,0
2.89476,0
2.91667,0
2.91789,0
2.92898,0
2.93153,0
2.9469,0
2.95957,0
2.96042,0
2.96326,0
2.96926,0
3.03542,0
3.04236,0
3.04958,0
3.05699,0
3.05875,0
3.06216,0
3.08838,0
3.09405,0
3.09884,0
3.1036,0
3.10957,0
3.1129,0
3.12645,0
3.12651,0
3.12834,0
3.14185,1
3.15904,0
3.15945,0
3.1624,0
3.16964,1
3.1705,0
3.17167,1
3.18077,0
3.2048,1
3.20791,2
3.21541,1
3.23961,2
3.27557,1
3.30811,0
3.33415,0
3.34704,0
3.35444,1
3.38362,2
3.38953,3
3.40484,4
3.40714,3
3.41336,2
3.43631,1
3.44768,0
3.45299,1
3.45734,0
3.46046,0
3.46793,0
3.47942,1
3.49293,0
3.51659,0
3.52177,0
3.53863,0
3.54079,0
3.55457,0
3.55968,0
3.58789,0
3.58874,0
3.61918,0
3.62291,0
3.63392,0
3.64785,0
3.69237,0
3.71674,0
3.71905,1
3.72486,0
3.72875,0
3.73957,0
3.74348,0
3.75951,0
3.76231,0
3.76527,0
3.77165,0
3.78017,0
3.78694,0
3.78825,0
3.80452,0
3.81307,0
3.81907,0
3.91317,0
3.95149,0
3.96258,0
3.99308,1
4.02057,2
4.03745,3
4.05192,2
4.05928,1
4.06395,0
4.06428,0
4.06851,0
4.08404,0
4.09204,0
4.09302,1
4.09525,0
4.10199,1
4.1213,0
4.12346,1
4.14531,0
4.14605,0
4.16559,0
4.19492,0
4.20675,0
4.22386,0
4.22506,0
4.25451,0
4.26438,0
4.26633,1
4.28934,2
4.30822,3
4.32652,2
4.32877,3
4.35048,2
4.36051,1
4.37139,0
4.39133,0
4.40513,0
4.41357,0
4.42473,0
4.42662,1
4.43588,0
4.439,1
4.441,0
4.4428,0
4.4433,0
4.44474,0
4.50551,0
4.50612,0
4.52207,0
4.531,0
4.57329,0
4.57503,0
4.58102,0
4.61983,0
4.62368,0
4.63746,0
4.64292,0
4.64782,0
4.6551,0
4.65561,0
4.65649,0
4.70553,0
4.71616,0
4.73764,0
4.74123,0
4.75078,0
4.77989,0
4.8051,0
4.81744,0
4.83949,0
4.85358,0
4.86071,1
4.86087,0
4.93234,0
4.94349,0
4.95432,0
4.97766,0
4.97766,0
4.98096,0
4.99545,0
5.03416,0
5.05371,0
5.09142,0
5.10094,0
5.11111,0
5.12376,0
5.14783,0
5.17278,0
5.19182,1
5.20591,0
5.21017,0
5.21631,0
5.22157,1
5.22479,2
5.26271,3
5.27731,4
5.28777,5
5.29253,4
5.30445,3
5.3056,2
5.3129,1
5.33049,2
5.3347,1
5.34859,2
5.36201,3
5.37534,4
5.38911,5
5.39841,6
5.40832,5
5.41057,4
5.42919,5
5.43128,4
5.43804,3
5.46521,2
5.49904,1
5.51924,2
5.53373,3
5.54353,2
5.54704,3
5.54718,4
5.55371,3
5.55923,2
5.56361,1
5.57375,0
5.58291,1
5.58368,2
5.60055,1
5.60383,2
5.61525,3
5.61622,2
5.63903,3
5.64254,2
5.651,1
5.66727,0
5.67277,1
5.68641,2
5.68987,1
5.69048,0
5.74175,0
5.79733,0
5.8198,1
5.82442,2
5.85119,3
5.87233,2
5.87336,1
5.87716,0
5.89786,0
5.93771,0
5.94496,0
5.9751,0
5.97791,0
6.00923,0
6.01667,1
6.02761,0
6.034,0
6.04107,0
6.04129,0
6.04271,0
6.04536,1
6.04722,2
6.05863,1
6.06643,0
6.07655,1
6.11163,0
6.12085,0
6.13131,0
6.13457,1
6.17889,2
6.18871,1
6.19043,0
6.20309,1
6.20623,0
6.27309,1
6.28176,0
6.28354,0
6.28519,0
6.36618,0
6.39913,0
6.44396,0
6.46363,0
6.54082,0
6.57348,0
6.57361,0
6.58006,0
6.58935,0
6.64003,0
6.6404,0
6.64553,0
6.64631,0
6.65247,0
6.69089,1
6.74328,0
6.75572,0
6.78056,0
6.78493,1
6.78978,0
6.81531,0
6.81648,0
6.82941,0
6.83907,0
6.85325,1
6.85587,2
6.85613,1
6.86973,2
6.88774,1
6.9029,0
6.90368,1
6.90761,2
6.92469,3
6.94277,2
6.94402,1
6.94902,0
6.95829,1
6.95843,2
6.9591,1
6.97707,2
7.00994,1
7.02234,2
7.04045,1
7.0502,2
7.05701,3
7.06101,4
7.07029,5
7.07484,6
7.07771,5
7.07972,4
7.08458,3
7.10274,2
7.11229,1
7.12514,0
7.13241,1
7.14735,0
7.15086,0
7.16518,0
7.16618,1
7.16829,2
7.17452,1
7.19101,2
7.20589,3
7.20988,4
7.25511,3
7.2559,4
7.27406,5
7.28068,4
7.29436,3
7.29915,2
7.30774,3
7.37782,2
7.4071,3
7.42015,2
7.4407,1
7.44434,0
7.46272,0
7.46936,0
7.48299,1
7.48375,0
7.48588,1
7.48655,0
7.4966,1
7.49835,2
7.5242,1
7.52689,0
7.54995,1
7.58284,2
7.58712,1
7.58823,0
7.59647,1
7.62026,2
7.62813,3
7.6441,2
7.6442,3
7.65147,2
7.65403,1
7.68446,0
7.68636,1
7.68752,0
7.70137,1
7.71247,2
7.72295,1
7.72728,2
7.74257,3
7.74327,4
7.74684,3
7.74734,2
7.74804,1
7.75206,2
7.78123,1
7.79282,0
7.80626,0
7.83296,0
7.83352,0
7.85264,0
7.8647,0
7.92872,0
7.9424,0
7.94904,0
7.95706,0
7.95984,0
7.98083,1
7.98993,2
7.99525,1
